Gene	HT29-CoCl2-1_S1	HT29-CoCl2-2_S13	HT29-CoCl2-3_S6	HT29-Ctrl-1_S11	HT29-Ctrl-2_S7	HT29-Ctrl-3_S15
CHRAC1	1457	1669	1359	1957	2555	3641
AGO2	8414	9364	7233	6050	7081	10518
AC067931.1	25	28	20	2	8	7
AC067931.2	1	0	3	3	3	5
ERICD	1	3	1	22	27	38
PTK2	9193	10388	8460	6103	7396	10913
MIR151A	1	1	0	0	0	0
AC105235.1	4	2	2	1	3	5
RNA5SP278	0	0	0	0	0	0
AC100860.1	0	0	1	0	0	1
DENND3	1967	2197	1655	700	866	1176
AC040970.1	18	30	15	81	103	131
SLC45A4	4018	3846	3343	1517	1807	2724
AC011676.5	38	41	45	35	31	56
AC011676.1	76	87	63	32	40	30
AC011676.2	2	1	2	5	10	10
AC011676.3	0	0	0	0	1	0
AC011676.4	0	0	0	0	0	0
LINC01300	0	1	0	0	0	1
AC100803.3	2	0	0	0	4	8
GPR20	0	1	0	3	4	6
AC100803.2	1	0	0	4	3	5
PTP4A3	49	51	49	137	164	217
MROH5	0	0	0	0	0	1
AC100803.4	2	0	0	1	0	4
AC100803.1	0	0	0	0	0	0
HNRNPA1P38	0	1	1	0	0	0
AC138647.2	0	0	0	0	0	0
AC138647.1	0	0	0	0	0	0
AC025839.1	0	0	0	0	0	0
MIR1302-7	0	0	0	0	0	0
AC104417.1	0	0	0	1	0	0
AC104417.2	0	0	0	0	0	0
AC103758.1	5	4	4	3	3	8
MIR4472-1	0	0	0	2	1	0
LINC00051	1	2	1	1	4	6
TSNARE1	193	191	194	198	225	314
RN7SL260P	0	0	0	0	2	0
AC134682.1	0	0	0	1	1	3
ADGRB1	3	3	7	10	24	17
MROH4P	0	0	0	0	0	0
ARC	38	42	26	91	130	233
AP006547.1	0	0	0	1	0	0
AC108002.2	0	0	0	1	0	0
JRK	270	254	226	715	755	1116
PSCA	3	4	1	31	32	42
LY6K	0	0	0	1	0	0
LNCOC1	4	2	1	3	7	5
THEM6	218	188	194	470	554	844
AC108002.1	0	0	0	0	0	0
SLURP1	0	0	0	0	0	0
LYPD2	0	0	0	0	0	0
AC083841.1	0	0	0	0	0	0
LYNX1-SLURP2	0	0	0	0	0	0
SLURP2	0	0	0	0	0	0
LYNX1	0	0	0	0	0	0
LY6D	4	1	4	0	1	1
AC083841.2	0	0	0	0	0	0
AC083841.4	0	0	0	0	0	0
AC083841.3	0	0	0	0	0	0
GML	0	0	0	0	0	0
ZNHIT1P1	0	0	0	0	0	0
CYP11B1	0	0	0	0	0	0
CYP11B2	0	0	0	0	0	0
LY6E-DT	0	2	0	8	4	11
CDC42P3	0	0	0	2	0	2
LY6E	1066	1298	1078	1507	2033	2603
C8orf31	1	0	1	5	3	2
AK3P2	0	0	1	0	0	0
AC083982.1	0	0	0	0	0	0
LY6L	0	0	0	0	0	0
LY6H	2	0	0	1	0	0
GPIHBP1	0	0	0	0	0	0
ZFP41	104	103	103	133	169	212
AC138696.1	0	0	0	0	0	0
GLI4	53	59	32	112	165	146
MINCR	16	13	17	72	63	95
ZNF696	33	28	21	115	154	182
AC138696.2	2	0	0	3	5	3
TOP1MT	347	408	354	472	517	716
RNU6-220P	0	0	0	0	0	0
RHPN1-AS1	2	1	1	13	9	27
RHPN1	224	227	215	399	389	547
AC105118.1	0	1	0	1	1	3
MAFA-AS1	0	1	1	0	2	2
MAFA	1	4	3	0	3	2
ZC3H3	595	647	476	241	303	400
AC067930.8	1	1	0	7	9	9
AC067930.3	0	0	0	1	2	1
RN7SKP175	0	0	0	0	0	0
GSDMD	299	331	281	541	670	962
MROH6	447	464	445	1142	1311	1756
AC067930.4	13	18	16	46	81	91
NAPRT	574	561	538	1187	1405	2140
AC067930.5	28	24	32	81	106	148
AC067930.1	0	0	0	0	0	0
EEF1D	2040	2254	1853	1605	1986	2799
TIGD5	31	37	28	161	200	352
PYCR3	19	15	10	163	211	280
TSTA3	545	547	470	1082	1327	1913
AC067930.2	0	1	0	5	3	4
ZNF623	249	287	232	735	883	1229
ZNF707	194	178	160	151	165	253
LINC02878	18	13	11	18	7	12
CCDC166	0	1	0	0	0	2
AC105219.2	0	0	0	0	0	0
MAPK15	38	30	23	101	100	162
AC105219.1	0	2	1	4	9	4
FAM83H	2549	2436	2210	2271	2718	3718
MIR4664	6	4	3	6	10	16
IQANK1	946	881	734	646	760	1182
AC105219.3	24	13	16	18	11	27
SCRIB	795	751	682	1384	1515	2262
MIR937	0	0	0	0	0	0
PUF60	1875	1941	1520	1378	1658	2557
AC234917.3	24	21	35	58	84	135
AC234917.1	0	0	0	1	1	0
NRBP2	71	70	56	355	453	579
MIR6845	0	0	0	0	0	0
AC234917.2	0	0	0	0	1	3
EPPK1	456	417	380	902	1088	1517
AC109322.2	2	0	2	12	7	11
PLEC	9600	9127	8193	6905	7986	11727
MIR661	1	3	0	1	1	1
PARP10	284	449	294	335	472	602
GRINA	1301	1369	1097	1145	1405	1842
SPATC1	0	1	0	4	8	5
SMPD5	0	0	0	4	4	4
OPLAH	46	42	37	136	147	243
MIR6846	0	0	0	0	0	0
AC109322.1	5	11	9	11	9	14
EXOSC4	79	85	71	132	144	240
MIR6847	0	0	0	0	0	0
GPAA1	390	405	356	843	995	1585
CYC1	1326	1437	1161	1533	1932	2714
SHARPIN	521	554	441	473	555	823
MAF1	1990	2151	1805	1240	1661	2208
WDR97	11	5	9	20	25	39
HGH1	59	43	44	318	350	472
TSSK5P	5	9	5	24	18	38
MROH1	1931	1926	1589	743	850	1289
BOP1	385	440	327	667	805	1105
MIR7112	0	0	0	0	0	0
SCX	30	25	22	26	14	31
HSF1	1517	1566	1277	906	1034	1658
DGAT1	392	406	301	546	684	1037
AC233992.1	0	0	0	0	0	0
MIR6848	0	0	0	0	0	0
SCRT1	1	0	3	0	1	2
TMEM249	2	0	0	0	0	1
AC233992.2	0	0	0	1	0	3
SLC52A2	508	411	390	525	625	923
FBXL6	76	72	69	119	153	239
ADCK5	58	59	57	116	145	213
CPSF1	852	863	771	1078	1256	1786
MIR939	0	0	0	0	0	0
MIR1234	0	0	0	0	0	0
MIR6849	0	0	0	0	0	0
AC233992.3	0	0	0	3	0	2
SLC39A4	92	101	84	192	270	363
VPS28	940	965	826	640	827	1177
TONSL	228	211	237	398	512	655
MIR6893	0	0	0	0	0	0
TONSL-AS1	2	2	1	6	5	12
CYHR1	1119	1170	944	802	1013	1533
AC084125.1	0	0	0	0	0	0
KIFC2	107	105	103	155	213	282
FOXH1	0	1	0	8	6	6
PPP1R16A	383	396	324	279	332	384
AC084125.2	47	42	33	23	21	34
GPT	54	56	55	91	89	164
MFSD3	38	42	29	201	220	257
RECQL4	486	513	452	565	666	879
AC084125.4	0	0	0	0	0	0
LRRC14	104	119	95	398	497	677
LRRC24	0	0	0	0	0	0
C8orf82	73	64	48	278	336	459
ARHGAP39	146	160	146	201	203	306
AC084125.3	0	0	0	0	1	0
AF186192.4	0	0	0	0	0	0
AF186192.1	0	0	0	0	0	0
AF186192.2	0	0	0	0	0	0
AF186192.3	1	0	1	0	0	0
ZNF251	97	120	91	245	281	462
ZNF34	64	71	70	67	79	94
RN7SL395P	2	0	0	0	1	3
RPL8	26258	26489	22778	16313	20038	27508
MIR6850	0	0	0	0	0	0
ZNF517	44	37	36	76	93	115
ZNF7	497	546	448	343	410	617
COMMD5	331	365	321	199	224	345
AF235103.3	3	2	2	8	10	11
ZNF250	133	143	101	94	131	170
ZNF16	259	250	231	251	305	478
ZNF252P	188	200	176	714	901	1388
AF235103.1	0	0	0	1	0	0
TMED10P1	0	0	0	0	0	0
ZNF252P-AS1	2	2	0	6	18	11
AF235103.2	0	0	0	0	0	0
AC139103.1	0	0	0	0	0	0
C8orf33	423	451	369	709	771	1249
DDX11L5	0	0	0	0	0	0
WASHC1	47	42	56	32	35	44
AL928970.1	0	2	0	0	1	1
MIR1302-9	0	0	0	0	0	0
FAM138C	0	0	0	0	0	0
AL449043.2	0	0	0	0	0	0
PGM5P3-AS1	0	0	0	0	0	0
AL449043.1	0	0	0	0	0	0
LINC01388	0	0	0	0	0	0
FOXD4	2	0	1	2	3	4
CBWD1	104	97	102	93	122	152
AL158832.2	0	0	0	0	0	0
DOCK8-AS1	0	0	0	0	0	0
DOCK8	0	0	3	0	0	0
AL158832.1	0	0	0	0	0	0
AL161725.1	0	0	1	2	3	4
KANK1	417	440	339	830	946	1285
RPL12P25	7	2	3	17	22	30
AL161725.2	0	0	0	7	4	6
AL392089.1	4	1	1	5	1	4
RNU6-1327P	0	0	0	3	0	1
EIF1P1	1	0	0	1	1	3
AL136979.1	0	0	0	0	0	0
DMRT1	0	0	0	0	0	0
DMRT3	0	0	0	0	0	0
RNU6-1073P	0	0	0	0	0	0
H3P29	0	0	0	0	0	0
AL358976.1	0	0	0	0	0	0
LINC01230	0	0	0	0	0	0
DMRT2	0	1	2	0	1	1
AL356498.1	0	0	0	0	0	0
RPS27AP14	0	0	0	0	0	0
AL358934.1	0	0	0	0	0	0
RNA5SP279	0	0	0	0	0	0
AL358053.1	0	0	0	0	0	0
AL591644.1	0	0	0	0	0	0
SMARCA2	1599	1688	1485	1249	1454	2004
AL359076.1	0	0	0	0	0	0
RNU2-25P	0	0	0	0	0	0
RN7SL592P	0	0	0	0	0	0
VLDLR-AS1	38	43	45	45	60	157
AL353614.1	0	0	0	0	1	0
VLDLR	1300	1338	1158	310	349	562
AL450467.1	4	4	3	0	2	1
KCNV2	1	5	1	1	4	4
PUM3	471	548	480	929	1085	1591
GPS2P1	1	1	1	1	0	0
ATP5PDP2	1	1	0	1	1	2
CARM1P1	0	0	0	0	0	0
LINC01231	0	0	0	0	0	0
RFX3	347	424	317	469	514	716
AL354941.1	0	0	0	0	0	0
RFX3-AS1	2	3	0	9	6	6
AL354977.2	0	0	0	0	0	1
AL354977.1	0	0	1	0	0	0
GLIS3	451	507	434	289	352	525
AL137071.1	0	0	0	0	0	0
GLIS3-AS1	0	0	0	0	0	0
AL359095.1	1	0	0	0	0	0
AL162419.1	1	0	0	1	1	3
RNU6-694P	0	0	0	0	0	0
SLC1A1	1384	1512	1300	1698	2019	2875
SPATA6L	153	134	140	282	312	382
AL136231.1	5	10	3	3	6	3
PLPP6	51	56	45	272	270	357
CDC37L1-DT	5	2	3	11	9	11
CDC37L1	315	372	261	399	465	676
AK3	487	519	452	1156	1393	1713
AL353151.2	0	0	0	0	0	0
ECM1P1	0	0	0	0	0	0
AL353151.1	1	1	5	4	1	7
RCL1	190	205	173	313	364	554
KLF4P1	0	0	0	0	0	0
MIR101-2	0	0	0	0	0	0
AL158147.1	0	0	0	0	0	0
HNRNPA1P41	0	2	0	1	2	0
JAK2	54	83	45	85	101	155
CSNK1G2P1	0	0	0	0	0	0
PDSS1P1	1	1	0	1	0	0
MTND6P5	0	0	0	0	0	0
MTND1P11	0	0	0	0	0	0
MTCO1P11	0	1	0	0	1	0
MTCO2P11	0	0	0	0	0	0
MTATP6P11	0	0	0	0	0	0
MTCO3P11	0	0	0	0	0	0
MTND4P14	0	0	0	0	0	1
MTND5P14	0	0	0	0	0	0
TCF3P1	0	1	0	0	1	1
IGHEP2	0	1	0	0	0	0
INSL6	0	0	0	0	1	2
AL133547.1	0	0	0	0	0	0
INSL4	0	0	1	1	5	9
RLN2	2	1	0	3	11	5
HMGN2P31	0	0	0	1	1	0
RLN1	0	1	0	0	0	2
AL135786.2	0	0	0	1	0	0
AL135786.1	0	0	0	0	0	1
PLGRKT	69	67	62	151	191	260
RNF152P1	0	0	0	0	0	0
CD274	27	30	31	22	20	21
AL162253.2	8	4	2	2	7	14
PDCD1LG2	0	0	0	0	0	0
AL162253.1	0	0	1	0	0	1
RIC1	457	466	414	398	464	730
AL136980.1	0	2	3	3	1	1
ERMP1	2616	2951	2558	3622	3903	6132
AK4P4	0	1	1	0	1	0
KIAA2026	722	864	717	825	1030	1460
MLANA	9	14	10	25	23	37
MIR4665	0	0	0	0	0	0
RANBP6	1043	1263	1031	573	687	1042
AL162384.1	0	0	0	0	0	0
GTF3AP1	0	0	0	0	0	0
IL33	6	4	2	47	56	74
AL360221.1	0	0	0	0	0	0
SELENOTP1	4	3	8	2	4	5
TPD52L3	0	0	0	0	0	0
UHRF2	916	1050	854	847	1017	1441
AL133480.1	0	0	0	2	0	0
GLDC	10	2	3	2	0	1
RN7SL25P	0	0	0	0	0	0
AL353718.1	0	0	0	0	0	0
RPL23AP57	13	8	10	7	7	9
AL162411.1	0	0	0	0	0	0
RN7SL123P	0	0	0	0	0	0
RPS3AP54	0	0	0	0	0	0
RNF2P1	0	0	1	0	0	1
AL354707.2	2	0	2	0	1	0
LINC02851	0	0	0	1	0	0
AL354707.1	0	0	0	0	0	0
KDM4C	1955	2126	1749	711	898	1276
PRELID3BP11	0	0	0	0	0	0
SNRPEP2	5	2	2	5	6	10
ACTG1P14	4	5	4	1	1	4
AL513412.1	0	0	0	0	0	0
AL161443.1	0	1	0	0	0	0
AL157703.1	0	0	0	0	0	0
RPL4P5	45	59	38	47	64	79
PPIAP33	1	1	0	0	0	2
AL354694.1	0	0	0	0	0	1
DMAC1	127	136	148	389	528	742
AL135923.2	0	0	0	0	0	0
AL135923.1	0	0	0	0	0	0
PTPRD	0	0	0	0	1	0
AL583805.2	0	0	1	0	0	0
AL583805.1	1	1	2	1	2	3
RNU7-185P	0	0	0	0	0	0
PTPRD-AS1	0	0	0	0	0	1
AL596451.1	0	0	0	0	0	0
RPS26P3	0	1	0	0	0	0
RN7SL5P	0	0	0	0	0	0
AL513422.1	0	0	0	0	0	0
AL135790.2	0	0	0	0	0	0
PTPRD-AS2	0	0	0	0	0	0
AL135790.1	0	0	0	0	0	0
AL161788.1	0	0	0	0	0	0
IMP3P1	0	0	0	0	0	0
AL162413.1	2	0	0	0	5	3
AKAP8P1	0	2	0	2	2	4
AL451129.1	0	0	0	0	0	0
AL355672.1	0	0	0	0	0	0
AL592227.1	0	0	0	0	0	0
AL353595.1	0	0	0	0	0	0
AL589678.1	0	0	0	0	0	0
JKAMPP1	0	0	0	0	0	0
RNU2-47P	0	0	0	0	0	0
TYRP1	0	1	1	0	1	0
LURAP1L-AS1	7	15	9	11	14	29
RN7SL849P	0	0	0	0	0	0
LURAP1L	1059	1143	1012	403	527	853
AL353711.1	0	0	0	0	0	0
AL161449.2	1	0	2	1	1	0
PRDX1P1	14	18	9	5	6	2
AL161449.1	0	0	0	0	0	0
MPDZ	1	0	0	0	0	0
AL162386.2	0	0	0	0	0	0
AL162386.1	0	0	0	0	0	0
AL583785.1	0	0	0	0	0	0
LINC01235	1	0	0	0	0	0
AL158157.1	0	0	0	1	0	0
LINC00583	0	0	0	0	0	0
PES1P2	0	0	0	1	0	1
AL360089.1	0	0	0	0	0	0
RPL3P11	0	1	0	0	0	0
ATP5PDP3	0	0	0	0	0	0
NFIB	323	355	284	862	1069	1474
AL441963.1	0	2	0	0	0	0
AL136366.1	0	0	0	1	1	0
AL137017.1	0	0	0	0	0	1
AL159169.1	0	0	0	0	0	0
AL159169.3	1	2	0	0	2	5
AL159169.2	8	8	9	14	17	25
CDCA4P1	2	0	0	3	5	3
ZDHHC21	221	258	189	423	554	776
CER1	0	0	0	0	0	0
FREM1	6	3	4	15	13	22
AL512643.2	0	0	0	0	0	0
AL512643.1	0	0	0	0	0	0
RNU6-1260P	0	0	0	0	0	0
CLCN3P1	2	0	1	1	0	2
LDHAP4	0	0	0	0	0	0
AL592293.1	0	0	0	0	0	0
AL592293.2	0	2	1	2	5	12
RNU6-559P	0	0	0	0	0	0
TTC39B	336	414	293	777	907	1358
RPL7P33	0	0	0	0	1	0
SNAPC3	540	676	558	957	1059	1419
RNU6-319P	0	0	0	0	0	0
PSIP1	538	666	500	1929	2494	2995
AL513423.1	0	0	0	0	0	0
RN7SL98P	0	0	0	0	0	0
FTH1P12	52	70	53	8	10	11
RNU6-246P	0	0	0	0	0	0
CCDC171	12	11	11	52	63	99
HMGN2P16	0	0	0	0	0	0
RNU6-14P	0	0	0	0	0	0
C9orf92	0	0	0	0	0	0
BNC2	0	0	0	0	0	0
AL449983.1	0	0	0	0	0	0
AL450003.1	0	0	0	0	0	0
BNC2-AS1	0	0	0	0	0	0
LSM1P1	0	0	0	0	0	0
AL162725.2	0	0	0	0	0	0
AL358117.1	0	0	0	0	0	0
RN7SL720P	0	0	0	0	0	0
RPS29P33	0	1	0	0	0	0
AL162725.1	0	0	0	0	0	0
CNTLN	1	4	3	48	48	52
SAMM50P1	0	0	0	1	0	0
SH3GL2	0	0	1	4	14	13
PABPC1P11	0	0	0	0	0	0
ADAMTSL1	0	1	0	0	0	1
AL442638.1	0	0	0	0	0	0
MIR3152	0	0	0	0	0	0
RN7SKP258	0	0	0	0	0	0
RAP1BP1	0	0	0	0	0	0
SAXO1	1	0	0	0	0	0
AL356000.1	5	5	1	1	5	4
RRAGA	630	639	522	447	608	852
HAUS6	491	540	468	751	791	1100
SCARNA8	2	0	2	0	4	2
RNU6-264P	0	0	0	0	0	0
AL591206.1	0	0	0	0	1	0
PLIN2	491	430	419	216	228	413
AL161909.1	47	39	22	47	35	73
DENND4C	4834	5552	4455	1551	1783	2670
AL161909.2	2	1	1	1	0	0
AL391834.1	3	12	5	2	7	5
AL391834.2	23	30	28	14	10	26
RPS6	29604	31222	28069	21676	25636	36370
NDUFA5P3	0	0	0	0	0	0
AL391834.3	0	0	0	0	0	1
ACER2	203	242	208	67	59	97
AL158206.1	109	148	103	38	45	83
MAP1LC3BP1	0	0	0	0	0	0
SLC24A2	0	0	0	0	1	0
C11orf98P1	0	0	0	0	0	0
AL158077.2	0	0	0	0	0	0
AL158077.1	0	0	1	0	0	0
AL591222.1	0	0	0	0	0	1
AL591222.2	0	1	0	0	1	0
AL591222.3	0	0	0	0	0	0
AL512635.1	0	0	1	0	0	0
MLLT3	1776	1913	1621	1254	1640	2322
MIR4473	0	0	0	0	0	0
RNU4-26P	0	0	0	0	0	0
MIR4474	0	0	0	0	0	0
AL163193.1	1	0	0	0	0	0
FOCAD	776	812	732	857	1022	1815
FOCAD-AS1	0	1	0	2	2	4
MIR491	0	0	0	0	0	0
SNORA30B	0	0	0	0	0	0
HACD4	4	3	9	28	17	29
IFNNP1	0	0	0	0	0	1
IFNB1	4	7	2	2	3	5
IFNWP4	0	0	0	0	0	0
AL390882.2	0	0	0	0	0	0
IFNW1	0	0	0	0	0	0
AL390882.1	0	0	0	0	0	0
IFNA21	0	0	0	0	0	0
IFNWP15	0	0	0	0	0	0
IFNA4	0	0	0	0	0	0
IFNWP9	0	0	0	0	0	0
IFNA7	0	0	0	0	0	0
IFNA10	0	0	0	0	0	0
IFNWP18	0	0	0	0	0	0
IFNA16	0	0	0	0	0	0
IFNA17	0	0	0	0	0	0
IFNWP5	0	0	0	0	0	0
IFNA14	0	0	0	0	0	0
IFNA22P	0	1	0	0	0	0
IFNA5	0	0	0	0	0	0
IFNA20P	1	2	1	0	1	4
KLHL9	1036	1228	971	1000	1174	1646
IFNA6	0	0	0	0	0	0
IFNA13	0	0	0	0	0	0
IFNA2	0	0	0	0	0	0
AL353732.1	0	0	0	0	1	0
IFNA11P	0	0	0	0	0	0
IFNA12P	0	0	0	0	0	0
IFNA8	0	0	0	1	0	0
AL353732.2	3	3	0	5	4	8
IFNWP2	0	0	0	0	0	0
IFNA1	1	0	0	0	1	0
MIR31HG	70	77	48	126	124	245
IFNWP19	0	0	0	0	0	0
IFNE	48	35	48	74	69	97
MIR31	0	0	0	0	0	0
AL137022.1	1	2	0	1	0	0
H3P30	0	0	0	0	0	0
KHSRPP1	5	2	0	3	4	12
RN7SL151P	0	0	0	0	1	0
MTAP	1129	1227	964	1588	1806	2830
AL359922.1	0	0	0	0	0	0
TUBB8P1	25	36	17	32	33	27
AL359922.2	67	85	64	40	42	75
AL359922.3	3	4	0	3	12	12
ERVFRD-3	2	2	2	8	4	5
CDKN2A-DT	1	2	2	4	4	4
CDKN2A	1278	1271	1013	826	928	1322
CDKN2B-AS1	75	93	78	150	171	246
AL449423.1	1	0	0	2	2	9
CDKN2B	381	386	349	268	412	612
UBA52P6	0	0	0	0	0	0
AL354709.1	0	0	0	0	0	0
AL354709.2	0	0	0	0	0	0
AL157937.1	0	0	0	0	0	0
DMRTA1	0	0	0	0	2	0
LINC01239	20	35	29	65	61	113
AL391117.1	0	1	0	1	0	1
CLIC4P1	1	1	1	6	3	5
AC017067.1	0	0	0	1	1	2
AL357614.1	0	0	0	0	0	0
AL445623.2	1	1	3	5	7	9
SUMO2P2	0	0	0	0	0	0
AL445623.1	0	0	0	0	0	0
NOP56P2	0	0	0	0	0	0
ELAVL2	0	0	0	0	0	0
AL161628.1	0	0	0	0	0	0
AL365204.1	0	0	0	0	0	0
AL365204.2	0	0	0	0	0	0
AL365204.3	0	0	0	0	0	0
AL513317.1	0	0	0	0	0	0
IZUMO3	0	0	0	0	0	0
AL353811.1	0	0	0	0	0	0
RMRPP5	0	0	0	0	0	0
RN7SKP120	0	0	0	0	0	0
AL353730.1	0	0	0	0	0	1
TUSC1	30	30	32	62	66	84
LINC01241	0	0	0	1	0	4
FAM71BP1	0	0	0	0	0	0
AL353753.1	0	0	0	0	0	0
AL442639.1	0	0	0	0	0	0
AL451137.2	0	0	0	0	0	0
AL451137.1	0	0	0	0	0	0
AL356133.1	1	0	1	0	0	0
CAAP1	329	398	278	497	586	891
H3P31	0	0	1	0	0	0
RN7SL100P	0	0	0	0	0	0
PLAA	2267	2603	1989	954	1139	1664
IFT74	158	155	141	364	478	615
IFT74-AS1	0	0	0	0	1	0
LRRC19	3	14	2	27	22	21
AL355432.1	0	0	0	1	5	12
TEK	0	1	0	30	26	42
RNA5SP280	0	0	0	0	0	0
AL355433.1	0	0	0	0	0	0
LINC00032	0	1	1	2	5	3
EQTN	1	1	0	0	0	2
MOB3B	63	85	54	449	505	753
AL163192.1	0	0	0	0	0	0
AL451123.2	0	0	0	0	0	0
IFNK	0	0	1	0	0	1
AL451123.1	46	72	52	8	12	10
C9orf72	734	910	655	143	157	267
CTAGE12P	3	1	0	0	1	4
AL360014.1	0	0	0	0	0	0
AL353746.1	0	0	0	0	0	0
LINGO2	0	0	0	0	0	0
AL451124.1	0	0	0	0	0	0
AL445526.1	0	0	0	0	0	0
KCTD10P1	0	0	0	0	0	0
MIR876	0	0	0	0	0	0
MIR873	0	0	0	0	0	0
AL162388.2	0	0	0	0	0	0
AL162388.1	0	0	0	0	0	0
AL353684.1	0	0	0	0	0	0
AL354676.1	0	0	0	0	0	0
ME2P1	0	0	0	0	0	0
LINC01242	0	0	0	0	0	0
SLC4A1APP1	3	0	0	1	0	4
C2orf27AP2	0	0	0	0	0	0
RBMXP2	10	5	4	18	15	25
KRT18P66	0	0	0	0	0	1
KRT18P36	1	3	1	0	0	3
RPS26P2	1	1	1	0	1	0
FTLP4	0	0	0	0	0	0
HSPA8P17	0	0	0	0	0	0
AL354854.1	0	0	0	0	0	0
SLC25A6P2	2	1	2	1	0	1
LINC01243	0	0	0	0	0	0
MTATP6P30	0	0	0	0	0	0
MTCO3P30	0	0	0	0	0	0
HMGB3P23	0	0	0	0	0	0
RNA5SP281	0	0	0	0	0	0
SLC25A5P8	1	0	0	0	0	0
ACO1	1028	1187	1038	977	1162	1700
DDX58	1190	2272	1414	503	843	1140
TOPORS	1199	1350	1113	653	849	1251
SMIM27	38	27	22	40	48	66
NDUFB6	312	386	332	373	466	681
DFFBP1	1	3	1	7	9	4
TAF1L	4	3	3	4	3	6
AL589642.1	0	0	0	0	0	0
AL589642.2	0	0	0	0	0	0
SNRPCP1	0	0	0	0	0	0
AL157884.1	0	0	0	0	0	0
TMEM215	0	0	0	0	0	0
AL157884.4	0	0	0	0	0	0
AL157884.3	1	1	0	0	0	1
AL157884.2	0	0	0	0	0	0
APTX	699	767	696	477	581	920
BOLA3P4	0	0	0	0	0	0
ASS1P12	0	0	0	0	0	0
TCEA1P4	16	13	5	3	5	2
LAGE3P1	2	4	2	4	3	3
DNAJA1	7646	9059	7410	2135	2515	3662
SMU1	973	1096	859	1025	1203	1950
B4GALT1	1975	2095	1762	1508	1964	2873
B4GALT1-AS1	5	6	4	12	13	22
RNU4ATAC15P	0	0	0	0	0	0
SPINK4	1	1	1	27	34	52
BAG1	771	811	663	546	654	1045
CHMP5	1650	1984	1572	969	1170	1729
NFX1	1598	1773	1530	854	1113	1669
AL356472.1	1	0	0	0	0	0
AQP7	1	0	1	17	27	39
AL356218.2	0	0	1	1	1	3
AQP3	257	231	200	852	1108	1559
AL356218.1	0	0	0	0	0	0
NOL6	260	257	207	710	816	1184
MIR6851	0	1	0	1	0	1
SUGT1P1	0	0	0	0	0	0
AL139008.2	0	0	0	0	0	0
ANKRD18B	0	0	0	0	0	0
AL139008.1	0	0	0	0	0	0
SNX18P7	0	0	0	0	0	0
CYP4F26P	0	0	0	0	0	0
PRSS3P4	0	0	0	0	0	0
TRBV20OR9-2	0	0	0	0	0	0
ANXA2P2	300	306	269	150	134	328
TRBV21OR9-2	0	0	0	0	0	0
TRBV22OR9-2	0	0	0	0	0	0
TRBV23OR9-2	0	0	0	0	0	0
TRBV24OR9-2	0	0	0	0	0	0
TRBV25OR9-2	0	0	0	0	0	0
PTENP1	3	2	2	3	6	7
PTENP1-AS	0	0	0	0	0	0
TRBV26OR9-2	0	0	0	0	0	0
AL356489.2	0	0	0	0	0	0
AL356489.3	0	0	0	0	0	0
AL356489.1	0	0	0	0	0	0
AL356489.4	0	0	0	0	0	0
LINC01251	0	0	0	0	0	0
PRSS3	553	579	481	240	294	467
UBE2R2-AS1	6	9	3	11	14	23
TRBV29OR9-2	5	2	4	4	2	9
UBE2R2	2747	3227	2630	1494	1803	2560
AL139113.1	0	0	0	0	0	0
RNU4ATAC11P	0	0	0	0	0	0
UBAP2	1043	1111	929	879	1020	1358
SNORD121B	0	0	0	0	0	1
SNORD121A	0	0	0	0	0	0
OSTCP8	0	1	2	2	2	0
RN7SKP114	0	0	0	0	0	0
AL354989.1	16	12	6	5	5	2
DCAF12	2052	2206	1967	1390	1689	2638
TUBB4BP2	1	1	0	0	0	2
AL354989.2	0	0	1	0	0	0
UBAP1	3215	3422	2776	1368	1676	2526
AL353662.1	1	0	0	0	0	0
AL353662.3	0	1	1	0	0	0
RNA5SP282	0	0	0	0	0	0
AL353662.2	1	1	1	0	2	4
KIF24	237	224	196	411	511	670
RNU2-50P	0	0	0	0	0	0
SERPINH1P1	7	12	5	3	2	1
NUDT2	209	224	213	253	257	440
MYORG	550	538	496	1225	1308	1890
C9orf24	10	17	10	4	3	7
AL356494.1	0	0	0	0	0	0
FAM219A	3199	3478	2702	103	139	169
DNAI1	7	9	9	7	8	11
RN7SKP24	0	0	0	0	0	0
ENHO	0	3	0	2	3	12
AL160270.1	0	0	0	0	0	0
AL160270.2	0	0	0	0	0	0
CNTFR	0	1	3	2	1	1
CNTFR-AS1	0	0	0	0	0	0
RPP25L	111	95	109	224	252	364
DCTN3	437	445	370	370	409	649
ARID3C	0	0	0	1	2	1
SIGMAR1	160	142	162	1097	1338	1730
GALT	36	33	33	156	180	304
AL162231.3	0	0	0	0	0	0
IL11RA	6	13	4	67	80	89
CCL27	0	0	0	0	0	0
AL162231.4	1	1	0	2	3	3
AL162231.1	2	3	2	4	6	8
AL162231.2	69	60	51	47	46	75
CCL19	0	0	0	0	0	0
AL162231.5	0	0	0	0	0	0
CCL21	0	0	0	0	0	0
FAM205A	0	0	1	1	3	3
AL589645.1	0	0	0	0	0	0
FAM205BP	0	0	0	0	0	0
FAM205C	0	0	0	0	0	0
GLULP4	0	0	0	1	0	0
YWHAZP6	2	5	6	0	6	2
PHF24	2	2	3	0	0	0
DNAJB5-DT	1	2	0	1	0	0
